MEDIA_ID,MEDIA_NAME,CNT,TIME(2026/02/20 01:26:38.946),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSR_US,GSR_US_TONIC,GSR_US_PHASIC,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME
0,NewMedia0,22,0.36139,50362626523,0.48233,0.05846,0.0,0.36138,2,1,0.33407,0.28296,1,0.37656,0.1037,0, ,0,,0.54032,0.52482,17.60306,0.97987,1,0.92487,0.54431,22.85738,0.99029,1,0,0.0,5,4.45178,1,5.38608,1,1.0,1,696580,1.43559,1.45686,-0.02127,1,88,1,21,0.684,1012,1,1,1,1,1,1,1,0.0,0,,0.0,0.0,0
0,NewMedia0,46,0.75562,50366568488,0.34801,0.34173,0.42902,0.3266,3,1,0.64108,0.3062,1,0.42604,0.19259,0, ,0,,0.55286,0.52489,15.23683,0.95857,1,0.93792,0.54568,19.30542,0.94815,1,0,0.0,5,3.85312,1,4.71762,1,1.0,1,692863,1.44329,1.45686,-0.01357,1,88,1,20,0.684,1013,1,1,1,1,1,1,1,0.0,0,AOI 2,400.12955,229.86977,0
0,NewMedia0,72,1.18311,50370843811,0.68343,0.43488,0.82135,0.36176,4,1,0.66847,0.3295,1,0.5099,0.26944,0, ,0,,0.55371,0.52591,16.5144,0.90064,1,0.93982,0.54662,18.97611,0.90945,1,0,0.0,5,3.79766,1,4.61223,1,1.0,1,686870,1.45588,1.45588,0.0,1,87,1,285,0.703,1012,1,1,1,1,1,1,1,0.0,0,,651.81677,351.12143,0
1,NewMedia1,3,0.04883,50460213714,0.58669,0.36833,0.0,0.04883,1,1,0.5594,0.38232,1,0.5099,0.26944,0, ,0,,0.57047,0.5207,17.11262,0.92708,1,0.95475,0.54435,22.06194,0.92708,1,0,0.0,5,3.93857,1,5.22583,1,1.0,1,696580,1.43559,1.43273,0.00286,1,77,1,22,0.803,1013,1,1,1,1,1,1,1,0.0,0,,3.41022,9.8467,0
1,NewMedia1,24,0.39435,50463669111,0.32622,0.36909,0.11511,0.27924,2,1,0.45052,0.52942,1,0.5099,0.26944,0, ,0,,0.56349,0.52195,16.51821,0.91186,1,0.94762,0.54524,21.51817,0.90144,1,0,0.0,5,4.11345,1,5.10323,1,1.0,1,697970,1.43273,1.42986,0.00287,1,77,1,284,0.803,1012,1,1,1,1,1,1,1,0.0,0,,500.10309,180.09402,0
1,NewMedia1,44,0.72235,50466949012,0.46727,0.46929,0.45941,0.26294,3,1,0.52296,0.40989,1,0.5099,0.26944,0, ,0,,0.56926,0.52115,16.8175,0.9375,1,0.95373,0.54627,20.94161,0.94791,1,0,0.0,5,3.88798,1,4.97346,1,1.0,1,700303,1.42795,1.42795,0.0,1,75,1,21,0.795,1013,1,1,1,1,1,1,1,0.0,0,,291.63675,338.21872,0
