Gazepoint Analysis,v7.2.0
Processed on,Fri Feb 20 01:28:43 2026

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#),
0, NewMedia0, 10, 2, AOI 2, 0, 10, 4, 4, 0.447, 1.104, 11.035, 5.250, 4, 2.750, 0.000,
1, NewMedia1, 10.000, 0, AOI 0, 6.531, 3.469, 3, 4, 8.247, 1.281, 12.806, 5.000, 3, 1.667, 0.000,
1, NewMedia1, 10.000, 1, AOI 1, 6.531, 3.469, 1, 4, 6.720, 2.102, 21.015, 6.000, 1, 3.000, 0.000,

AOI Statistics (for each user)
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start, AOI Duration (sec - U=UserControlled), User ID, User Name, User Gender, User Age, Time to 1st View (sec) -1.0 means not viewed, Time Viewed (sec), Time Viewed (%), Fixations (#), Revisits (#), Clicks (#), Ave Dial (0-1), Ave GSR (kOhm), Ave Heart Rate (BPM), Ave Interbeat Interval (s), Ave Left Pupil (mm), Ave Right Pupil (mm),
0, NewMedia0, 10.000, 2, AOI 2, 0.000, 10.000, 3, User 3, M, 0, 0.476, 0.979, 9.794, 5.000, 6, 0, 1.000, 687678.188, 82.338, 0.736, 4.027, 5.066,
1, NewMedia1, 10.000, 0, AOI 0, 6.531, 3.469, 3, User 3, M, 0, 6.538, 2.559, 25.585, 10.000, 3, 0, 1.000, 715131.062, 77.863, 0.771, 3.959, 5.020,
1, NewMedia1, 10.000, 1, AOI 1, 6.531, 3.469, 3, User 3, M, 0, -1.000, 0.000, 0.000, 0.000, 0, 0, 1.000, 715131.062, 77.863, 0.771, 3.959, 5.020,
