MEDIA_ID,MEDIA_NAME,CNT,TIME(2026/02/20 01:26:38.946),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSR_US,GSR_US_TONIC,GSR_US_PHASIC,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME
0,NewMedia0,0,0.0,50359012538,0.50142,0.07977,0.0,0.0,1,0,0.53734,0.09612,1,0.37708,0.10278,0, ,0,,0.54399,0.51968,17.84312,0.93957,1,0.92865,0.54005,21.97737,0.93076,1,0,0.0,5,4.35816,1,5.5432,1,1.0,1,707800,1.41283,1.45783,-0.045,1,86,1,34,0.67,1012,1,1,1,1,1,1,1,0.0,0,,0.0,0.0,0
0,NewMedia0,1,0.0163,50359175619,0.50429,0.05559,0.0,0.0,1,0,0.51004,0.00721,1,0.37708,0.10278,3, ,0,,0.54425,0.51979,18.09105,0.94141,1,0.9287,0.5402,22.14507,0.9326,1,0,0.0,5,4.36098,1,5.51451,1,1.0,1,707330,1.41377,1.45783,-0.04406,1,86,1,20,0.67,1013,1,1,1,1,1,1,1,0.0,0,,0.0,0.0,0
0,NewMedia0,2,0.07507,50359763491,0.50583,0.04588,0.0,0.07507,2,1,0.51046,0.01678,1,0.37708,0.10278,0, ,0,,0.54432,0.52013,18.06578,0.9326,1,0.92884,0.54046,22.29386,0.9326,1,0,0.0,5,4.33482,1,5.4259,1,1.0,1,707800,1.41283,1.45783,-0.045,1,86,1,20,0.67,1012,1,1,1,1,1,1,1,0.0,0,,0.0,0.0,0
0,NewMedia0,3,0.08234,50359836160,0.50501,0.047,0.0,0.08233,2,1,0.50171,0.05148,1,0.37656,0.1037,0, ,0,,0.54451,0.52053,17.93554,0.92194,1,0.92887,0.54142,22.30056,0.93076,1,0,0.0,5,4.29772,1,5.44671,1,1.0,1,707800,1.41283,1.45783,-0.045,1,86,1,20,0.67,1013,1,1,1,1,1,1,1,0.0,0,,0.0,0.0,0
1,NewMedia1,0,0.0,50459725355,0.5868,0.36931,0.0,0.0,1,1,0.60732,0.37417,1,0.5099,0.26944,0, ,0,,0.57222,0.51943,16.65445,0.92708,1,0.95612,0.54364,21.03773,0.92708,1,0,0.0,5,4.02418,1,5.26283,1,1.0,1,696580,1.43559,1.43273,0.00286,1,77,1,21,0.803,1013,1,1,1,1,1,1,1,0.0,0,,0.0,0.0,0
1,NewMedia1,1,0.02313,50459956947,0.58838,0.36968,0.0,0.02313,1,1,0.60732,0.37417,1,0.5099,0.26944,0, ,0,,0.57206,0.51995,16.78737,0.92708,1,0.95612,0.54372,21.19795,0.92708,1,0,0.0,5,4.0168,1,5.29445,1,1.0,1,697506,1.43368,1.43273,0.00095,1,77,1,22,0.803,1013,1,1,1,1,1,1,1,0.0,0,,0.0,0.0,0
1,NewMedia1,2,0.0351,50460076210,0.58864,0.36733,0.0,0.0351,1,1,0.59204,0.33676,1,0.5099,0.26944,0, ,0,,0.57194,0.521,17.18768,0.92708,1,0.95569,0.54368,21.18472,0.92708,1,0,0.0,5,3.87547,1,5.17861,1,1.0,1,697506,1.43368,1.43273,0.00095,1,77,1,21,0.803,1012,1,1,1,1,1,1,1,0.0,0,,0.0,0.0,0
1,NewMedia1,3,0.04883,50460213714,0.58669,0.36833,0.0,0.04883,1,1,0.5594,0.38232,1,0.5099,0.26944,0, ,0,,0.57047,0.5207,17.11262,0.92708,1,0.95475,0.54435,22.06194,0.92708,1,0,0.0,5,3.93857,1,5.22583,1,1.0,1,696580,1.43559,1.43273,0.00286,1,77,1,22,0.803,1013,1,1,1,1,1,1,1,0.0,0,,3.41022,9.8467,0
